Id,y
10000,-66.00242349023164
10001,451.40650440115473
10002,-461.67641706029866
10003,40.50120875372345
10004,-126.74472245403707
10005,-342.53455181925057
10006,-396.55554211358896
10007,335.5412790790876
10008,-99.51242087062371
10009,304.812539806276
10010,68.89453048978532
10011,412.3691954559072
10012,54.942371024767986
10013,-17.005550754779772
10014,-597.849957572261
10015,443.5022887864149
10016,144.77448697804323
10017,-57.411163672536645
10018,134.38782757746034
10019,-108.98377598910838
10020,153.82482842506698
10021,611.7359836022018
10022,588.3896503384213
10023,-131.01679995801965
10024,-61.13562114122951
10025,-374.24849531697186
10026,74.15799307965362
10027,137.4383787361039
10028,420.0866117967909
10029,196.76562571344232
10030,268.44284980053146
10031,638.4749102511091
10032,127.37873138691998
10033,1.3491187583997508
10034,22.71045317740793
10035,342.2395345225644
10036,307.70396697417186
10037,348.13820870093997
10038,-168.6528613073544
10039,-20.221130904617034
10040,-551.7499275731112
10041,-429.97180406674
10042,261.89195870674405
10043,389.8204261292212
10044,-96.16562227356532
10045,-210.710801256324
10046,278.88186878401126
10047,-427.4533010310486
10048,-172.9032529175671
10049,467.2643783557853
10050,-631.5587355874388
10051,-355.53165933817775
10052,143.17327553860372
10053,69.19920259894174
10054,275.5882739767252
10055,-263.1886122041021
10056,167.4983072324125
10057,104.57789589014259
10058,230.0700866100751
10059,20.988026644576486
10060,-4.822581262501155
10061,-201.92294081063687
10062,560.0639265657694
10063,55.28847625244875
10064,671.3015746918346
10065,-493.74873828522857
10066,-279.35303673259153
10067,-53.712527613147536
10068,379.69819550097526
10069,315.07141085798094
10070,169.13001732614296
10071,-271.5993032690111
10072,783.8022226750339
10073,44.57731151554839
10074,57.4067800545772
10075,-161.0782741430679
10076,-220.66957847885735
10077,223.24129442929225
10078,352.66559554375397
10079,13.163291366265993
10080,-461.99414698573077
10081,305.3721466914238
10082,-230.5965617386113
10083,359.0744432425439
10084,-430.2605633759212
10085,-115.54882205546177
10086,-88.96006387867371
10087,-488.2901898080417
10088,-139.35033854713518
10089,57.33880810852752
10090,-190.3362427216642
10091,-6.508092914824502
10092,189.29107774701845
10093,346.6036781856557
10094,871.6273206485896
10095,-147.01353738653867
10096,443.48993777942917
10097,-30.49843297443663
10098,185.46345753445928
10099,-119.91717151732743
10100,43.57523800180703
10101,58.31857155224394
10102,-197.15246829839714
10103,-70.47160678841237
10104,-342.846053288668
10105,-29.233589873717168
10106,49.52292929610376
10107,-16.246144137913085
10108,33.77506926160706
10109,-68.88307748324169
10110,25.86339949369721
10111,-617.3142842716951
10112,-185.90441301194858
10113,323.783106109386
10114,-35.662195722128416
10115,-733.5297711613833
10116,-240.73856264736054
10117,-381.9731466242485
10118,75.31994462169526
10119,36.61032645911793
10120,-28.756270225022902
10121,-481.1606279685879
10122,408.8502304229885
10123,-765.0217471991634
10124,178.0726965163707
10125,-7.649879385673594
10126,134.7968462337594
10127,-477.45851421287017
10128,-248.70625301323574
10129,-361.88465722386337
10130,-18.755611748554347
10131,7.795604374434432
10132,-109.10598972538372
10133,-63.073745242194434
